city,year,air_quality_rating
Alcantarilla,2020,Moderate
Alcantarilla,2021,Moderate
Alcañiz,2013,Moderate
Alcañiz,2014,Moderate
Alcañiz,2015,Moderate
Alcañiz,2016,Moderate
Alcañiz,2017,Moderate
Alcañiz,2018,Moderate
Alcañiz,2019,Moderate
Alcañiz,2020,Moderate
Alcañiz,2021,Moderate
Alcobendas,2010,Moderate
Alcoi,2013,Moderate
Alcora (l'),2010,Moderate
Alcorcon,2010,Moderate
Alcorcon,2011,Moderate
Alcorcon,2012,Moderate
Alcorcon,2013,Moderate
Alcorisa,2010,Moderate
Alcover,2010,Moderate
Alcover,2013,Moderate
Alcover,2014,Moderate
Alcover,2015,Moderate
Alcover,2016,Moderate
Alcover,2017,Moderate
Alcover,2018,Moderate
Alcover,2019,Moderate
Alcover,2020,Moderate
Alcover,2021,Moderate
Alcoy,2013,Moderate
Alcoy,2014,Moderate
Alcoy,2015,Moderate
Alcoy,2016,Moderate
Alcoy,2017,Moderate
Alcoy,2018,Moderate
Alcoy,2019,Moderate
Alcoy,2020,Moderate
Alcoy,2021,Moderate
Alcoy/alcoi,2010,Moderate
Alcudia,2010,Moderate
Alessandria,2010,Moderate
Alessandria,2013,Moderate
Alessandria,2014,Moderate
Alessandria,2015,Moderate
Alessandria,2016,Moderate
Alessandria,2017,Moderate
Alessandria,2018,Moderate
Alessandria,2019,Moderate
Alessandria,2020,Moderate
Alessandria,2021,Moderate
Alesund,2013,Moderate
Aletai shi,2015,Moderate
Aletai shi,2016,Moderate
Aletai shi,2018,Moderate
Aletai shi,2019,Moderate
Alexandra,2012,Moderate
Alexandria,2010,Moderate
Alexandria,2013,Moderate
Alexandria,2014,Moderate
Alexandria,2015,Moderate
Alexandria,2016,Moderate
Alexandria,2018,Moderate
Alexandria,2019,Moderate
Alexandria,2021,Moderate
Alexandria,2022,Moderate
"Alexandria, LA",2010,Moderate
"Alexandria, LA",2011,Moderate
"Alexandria, LA",2012,Moderate
"Alexandria, LA",2013,Moderate
"Alexandria, LA",2014,Moderate
"Alexandria, LA",2015,Moderate
"Alexandria, LA",2016,Moderate
"Alexandria, LA",2017,Moderate
"Alexandria, LA",2018,Moderate
"Alexandria, LA",2019,Moderate
"Alexandria, LA",2020,Moderate
"Alexandria, LA",2021,Moderate
Alfara de Algimia,2013,Good
Alfara de Algimia,2014,Good
Alfara de Algimia,2015,Good
Alfara de Algimia,2016,Good
Alfara de Algimia,2017,Good
Alfara de Algimia,2018,Good
Alfara de Algimia,2019,Good
Alfara de Algimia,2020,Good
Alfara de Algimia,2021,Good
Alfaro,2010,Moderate
Alfaro,2013,Moderate
Alfaro,2014,Moderate
Alfaro,2015,Good
Alfaro,2016,Good
Alfaro,2017,Good
Alfaro,2018,Good
Alfaro,2019,Moderate
Alfaro,2020,Moderate
Alfaro,2021,Good
Alfondeguilla,2015,Moderate
Alfondeguilla,2016,Moderate
Alfondeguilla,2017,Moderate
Alfondeguilla,2018,Moderate
Alfondeguilla,2019,Moderate
Alfondeguilla,2020,Moderate
Alfondeguilla,2021,Moderate
Alfonsine,2010,Moderate
Alfonsine,2013,Moderate
Alfriston,2013,Moderate
Alfriston,2014,Moderate
Alfriston,2015,Moderate
Alfriston,2016,Moderate
Alfriston,2017,Moderate
Alfriston,2018,Moderate
Alfriston,2019,Moderate
Algar,2013,Moderate
Algar,2014,Moderate
Algar,2015,Moderate
Algeciras,2010,Moderate
Algeciras,2013,Moderate
Algeciras,2014,Moderate
Algeciras,2015,Moderate
Algeciras,2016,Moderate
Algeciras,2017,Moderate
Algeciras,2018,Moderate
Algeciras,2019,Moderate
Algeciras,2020,Moderate
Algeciras,2021,Moderate
Algete,2010,Moderate
Algete,2013,Good
Algete,2014,Good
Algete,2015,Moderate
Algete,2016,Moderate
Algete,2017,Moderate
Algete,2018,Moderate
Algete,2019,Moderate
Algete,2020,Moderate
Algete,2021,Moderate
Alghero,2013,Moderate
